subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
timed,Druid,Feral,Druid of the Claw,DPS,2852,2850,1044,193456,196976,258036,0.55,61.5,299.8,206,52.9,29.6,17.5,3130.0
timed,Druid,Feral,Unknown,DPS,158,158,92,192573,198174,260838,0.53,62.7,299.8,0,,,,2751.0
timed,Druid,Feral,Wildstalker,DPS,395,394,241,172720,174168,243933,0.53,63.0,297.2,19,63.2,10.5,26.3,3019.0
timed,Druid,Guardian,Druid of the Claw,Tank,314,314,131,87627,86770,123246,0.16,87.3,298.4,11,54.5,45.5,0.0,2882.0
timed,Druid,Guardian,Elune's Chosen,Tank,8833,8833,3628,96598,96006,131760,0.11,90.1,299.6,500,51.0,25.2,23.8,2934.0
timed,Druid,Guardian,Unknown,Tank,325,325,217,94750,92108,130334,0.14,87.7,299.2,0,,,,3038.0
timed,Druid,Restoration,Keeper of the Grove,Healer,522,522,287,36740,32096,71168,0.47,67.0,297.6,19,42.1,36.8,21.1,2886.0
timed,Druid,Restoration,Unknown,Healer,175,175,107,16057,14550,28000,0.47,65.1,297.2,0,,,,2900.0
timed,Druid,Restoration,Wildstalker,Healer,3480,3480,1900,11317,10013,20949,0.48,65.4,296.3,182,63.2,22.0,14.8,2845.0
timed,Evoker,Augmentation,Chronowarden,DPS,343,343,176,143810,146360,194793,0.3,77.0,296.8,8,50.0,12.5,37.5,2805.0
timed,Evoker,Augmentation,Scalecommander,DPS,691,691,382,153153,157108,205586,0.29,78.6,296.8,19,73.7,15.8,10.5,2877.0
timed,Evoker,Augmentation,Unknown,DPS,22,22,17,143134,159708,180864,0.27,77.3,294.3,0,,,,2714.0
timed,Evoker,Devastation,Flameshaper,DPS,134,134,70,169216,175990,210507,0.48,61.9,298.0,1,100.0,0.0,0.0,2773.0
timed,Evoker,Devastation,Scalecommander,DPS,4804,4712,1764,194067,196549,248923,0.53,63.2,299.7,225,36.9,21.3,41.8,2816.0
timed,Evoker,Devastation,Unknown,DPS,176,174,105,196591,197571,259556,0.57,64.2,300.0,0,,,,2848.0
timed,Evoker,Preservation,Chronowarden,Healer,367,367,189,38617,34412,71708,0.63,59.1,297.3,9,44.4,44.4,11.1,2793.0
timed,Evoker,Preservation,Flameshaper,Healer,4941,4941,1940,40400,38914,60141,0.59,60.2,299.8,247,33.2,31.6,35.2,2829.0
timed,Evoker,Preservation,Unknown,Healer,182,182,131,39094,38253,59653,0.48,68.1,299.0,0,,,,2854.0
timed,Hunter,BeastMastery,Dark Ranger,DPS,236,236,191,135204,131908,187260,0.35,74.2,293.6,11,81.8,18.2,0.0,
timed,Hunter,BeastMastery,Pack Leader,DPS,11809,11561,6062,165828,166121,219687,0.46,66.9,298.7,658,46.5,28.0,25.5,2859.0
timed,Hunter,BeastMastery,Sentinel,DPS,2,2,2,168420,168420,169994,0.0,100.0,311.0,0,,,,
timed,Hunter,BeastMastery,Unknown,DPS,392,382,314,162729,161595,217476,0.5,63.8,298.4,0,,,,2811.0
