subset,class,spec,role,week_start,parses,runs,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,Shaman,Elemental,DPS,2026-07-20,213,212,265009,261348,364188,2.59,21.1,330.9
all,Shaman,Elemental,DPS,2026-07-27,297,296,282677,278224,373733,2.0,24.2,332.0
all,Shaman,Enhancement,DPS,2026-06-22,57,57,221821,229888,289963,4.61,10.5,320.7
all,Shaman,Enhancement,DPS,2026-06-29,66,66,218749,224240,284608,2.48,19.7,325.0
all,Shaman,Enhancement,DPS,2026-07-06,135,135,237480,236878,310779,2.17,26.7,330.9
all,Shaman,Enhancement,DPS,2026-07-13,128,128,229107,219894,316767,2.48,27.3,329.7
all,Shaman,Enhancement,DPS,2026-07-20,71,71,235527,229747,304300,2.56,12.7,328.2
all,Shaman,Enhancement,DPS,2026-07-27,43,43,260630,248758,380516,2.4,4.7,331.0
all,Shaman,Restoration,Healer,2026-06-15,1,1,32722,32722,32722,0.0,100.0,516.0
all,Shaman,Restoration,Healer,2026-06-22,56,56,19198,17424,25702,3.64,10.7,316.6
all,Shaman,Restoration,Healer,2026-06-29,134,134,25653,24725,38438,1.96,31.3,323.3
all,Shaman,Restoration,Healer,2026-07-06,149,149,40178,39656,56880,1.06,43.0,328.6
all,Shaman,Restoration,Healer,2026-07-13,136,136,40476,43798,54412,1.48,28.7,332.6
all,Shaman,Restoration,Healer,2026-07-20,213,213,39042,38643,54953,1.97,28.6,331.7
all,Shaman,Restoration,Healer,2026-07-27,269,269,42094,43200,57001,1.57,30.9,331.4
all,Warlock,Affliction,DPS,2026-06-22,54,54,232438,241229,293557,3.26,7.4,318.4
all,Warlock,Affliction,DPS,2026-06-29,123,121,248850,242535,357123,3.28,15.4,323.9
all,Warlock,Affliction,DPS,2026-07-06,147,147,257473,254794,334573,1.63,27.9,328.4
all,Warlock,Affliction,DPS,2026-07-13,78,78,249623,245604,330897,2.13,25.6,330.8
all,Warlock,Affliction,DPS,2026-07-20,98,98,249825,259852,332771,2.14,25.5,331.2
all,Warlock,Affliction,DPS,2026-07-27,53,51,263179,265068,350981,2.15,20.8,330.4
all,Warlock,Demonology,DPS,2026-06-22,35,35,190672,167688,293895,5.03,11.4,317.9
all,Warlock,Demonology,DPS,2026-06-29,18,18,206644,204999,248436,4.28,0.0,320.1
all,Warlock,Demonology,DPS,2026-07-06,41,41,229412,225789,310360,1.59,36.6,327.9
all,Warlock,Demonology,DPS,2026-07-13,40,40,245651,241234,305578,1.58,42.5,331.1
all,Warlock,Demonology,DPS,2026-07-20,56,56,246034,242971,310087,2.34,16.1,332.8
all,Warlock,Demonology,DPS,2026-07-27,32,31,260127,264174,344425,2.12,12.5,332.0
all,Warlock,Destruction,DPS,2026-06-22,1,1,145462,145462,145462,11.0,0.0,315.0
all,Warlock,Destruction,DPS,2026-06-29,7,7,203747,184074,268228,0.86,42.9,320.6
all,Warlock,Destruction,DPS,2026-07-06,40,40,242909,229657,310797,0.95,37.5,333.0
all,Warlock,Destruction,DPS,2026-07-13,36,36,277926,285574,358322,2.56,5.6,333.6
all,Warlock,Destruction,DPS,2026-07-20,60,60,252220,251865,315016,2.6,11.7,332.0
all,Warlock,Destruction,DPS,2026-07-27,35,35,235179,216978,340854,2.46,20.0,331.0
all,Warrior,Arms,DPS,2026-06-22,36,36,243823,240124,298984,2.81,13.9,321.5
all,Warrior,Arms,DPS,2026-06-29,93,89,234697,240718,308945,2.35,28.0,326.3
all,Warrior,Arms,DPS,2026-07-06,185,185,262532,253088,366761,1.42,28.6,331.8
all,Warrior,Arms,DPS,2026-07-13,304,304,289150,277634,398012,1.89,27.0,332.4
all,Warrior,Arms,DPS,2026-07-20,347,343,276290,277540,372222,2.62,16.4,332.1
all,Warrior,Arms,DPS,2026-07-27,442,432,274859,274912,354535,2.45,17.6,332.3
all,Warrior,Fury,DPS,2026-06-15,1,1,331127,331127,331127,1.0,0.0,519.0
all,Warrior,Fury,DPS,2026-06-22,19,19,191411,189514,243293,3.74,5.3,320.9
all,Warrior,Fury,DPS,2026-06-29,41,41,214682,213453,289478,3.17,9.8,323.9
all,Warrior,Fury,DPS,2026-07-06,25,24,201510,194498,252672,1.92,20.0,328.4
all,Warrior,Fury,DPS,2026-07-13,27,27,199346,204247,238326,3.11,14.8,331.1
all,Warrior,Fury,DPS,2026-07-20,29,29,210278,193664,312040,2.31,17.2,327.3
all,Warrior,Fury,DPS,2026-07-27,14,14,224526,210990,259964,2.36,14.3,331.2
all,Warrior,Protection,Tank,2026-06-22,35,35,117152,119404,151170,1.17,34.3,323.5
all,Warrior,Protection,Tank,2026-06-29,88,88,120163,117230,162541,1.01,56.8,326.7
all,Warrior,Protection,Tank,2026-07-06,54,54,123790,120952,169691,0.8,61.1,331.2
all,Warrior,Protection,Tank,2026-07-13,49,49,136600,128547,199587,1.1,55.1,330.8
all,Warrior,Protection,Tank,2026-07-20,55,55,135485,125917,187856,1.13,56.4,329.9
all,Warrior,Protection,Tank,2026-07-27,51,51,170064,165214,228902,0.63,56.9,331.2
timed,DeathKnight,Blood,Tank,2026-06-29,20,20,112016,111405,139726,0.05,95.0,320.2
timed,DeathKnight,Blood,Tank,2026-07-06,74,74,129097,119544,176697,0.36,67.6,327.1
timed,DeathKnight,Blood,Tank,2026-07-13,53,53,141145,141168,171342,0.21,86.8,331.1
timed,DeathKnight,Blood,Tank,2026-07-20,200,200,177647,168095,243134,0.18,85.0,331.9
timed,DeathKnight,Blood,Tank,2026-07-27,287,287,178266,176340,241924,0.26,78.4,331.2
timed,DeathKnight,Frost,DPS,2026-06-29,169,149,264501,266379,322958,1.16,27.8,326.5
timed,DeathKnight,Frost,DPS,2026-07-06,163,161,263777,267340,332615,1.03,36.2,331.1
timed,DeathKnight,Frost,DPS,2026-07-13,77,77,259987,245549,357982,0.52,64.9,332.0
timed,DeathKnight,Frost,DPS,2026-07-20,52,52,248565,241218,336293,0.48,67.3,331.8
timed,DeathKnight,Frost,DPS,2026-07-27,18,18,285508,279669,447516,1.11,27.8,329.7
timed,DeathKnight,Unholy,DPS,2026-06-29,43,42,231743,231557,287411,0.72,51.2,324.1
timed,DeathKnight,Unholy,DPS,2026-07-06,48,48,181882,170364,261130,0.62,60.4,325.7
timed,DeathKnight,Unholy,DPS,2026-07-13,7,7,200858,202235,238948,0.43,57.1,332.1
timed,DeathKnight,Unholy,DPS,2026-07-20,90,88,257194,251564,342053,0.89,42.2,331.4
timed,DeathKnight,Unholy,DPS,2026-07-27,63,63,257643,269995,346437,0.87,49.2,330.7
timed,DemonHunter,Devourer,DPS,2026-06-29,32,32,164761,156117,207828,1.91,25.0,320.7
timed,DemonHunter,Devourer,DPS,2026-07-06,136,134,253880,247893,354916,1.4,32.4,330.5
timed,DemonHunter,Devourer,DPS,2026-07-13,167,148,283254,286462,367544,1.3,26.3,331.8
timed,DemonHunter,Devourer,DPS,2026-07-20,156,155,272980,268696,364323,1.61,21.2,332.0
timed,DemonHunter,Devourer,DPS,2026-07-27,210,210,295420,294176,385961,1.35,31.9,332.3
timed,DemonHunter,Havoc,DPS,2026-06-29,21,21,186866,181715,221157,2.1,14.3,320.2
timed,DemonHunter,Havoc,DPS,2026-07-06,24,23,221500,243156,274745,1.33,20.8,329.0
timed,DemonHunter,Havoc,DPS,2026-07-13,4,4,205589,215634,247813,1.5,25.0,330.8
timed,DemonHunter,Havoc,DPS,2026-07-20,11,11,231299,199140,334561,1.82,36.4,330.5
timed,DemonHunter,Havoc,DPS,2026-07-27,21,21,222697,224811,272539,1.24,38.1,329.0
timed,DemonHunter,Vengeance,Tank,2026-06-29,36,36,108352,107968,156616,0.5,58.3,322.9
timed,DemonHunter,Vengeance,Tank,2026-07-06,70,70,135898,129876,186332,0.37,71.4,329.8
timed,DemonHunter,Vengeance,Tank,2026-07-13,27,27,110235,108393,138905,0.7,59.3,327.7
timed,DemonHunter,Vengeance,Tank,2026-07-20,37,37,147117,141398,186458,0.22,78.4,331.2
