subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
timed,Monk,Windwalker,Shado-Pan,DPS,55,55,28,226443,217870,295278,1.33,29.1,328.6
timed,Monk,Windwalker,Unknown,DPS,15,15,7,303937,276236,398567,0.87,46.7,333.6
timed,Paladin,Holy,Herald of the Sun,Healer,292,292,120,27564,27020,39360,0.88,44.5,330.2
timed,Paladin,Holy,Lightsmith,Healer,259,259,105,54104,54019,71430,0.93,40.5,332.5
timed,Paladin,Holy,Unknown,Healer,43,43,30,43687,48624,65393,0.93,37.2,332.8
timed,Paladin,Protection,Lightsmith,Tank,1292,1292,435,166222,159986,235417,0.36,71.4,331.2
timed,Paladin,Protection,Templar,Tank,26,26,9,122663,124550,160435,0.46,65.4,328.0
timed,Paladin,Protection,Unknown,Tank,96,96,55,164868,161446,215948,0.46,67.7,332.1
timed,Paladin,Retribution,Herald of the Sun,DPS,163,163,87,253834,246869,342898,1.33,31.3,331.2
timed,Paladin,Retribution,Templar,DPS,75,75,55,183977,183023,242238,1.4,28.0,326.4
timed,Paladin,Retribution,Unknown,DPS,23,23,15,253593,221961,349473,1.65,21.7,330.7
timed,Priest,Discipline,Oracle,Healer,234,234,113,30031,29220,37885,1.01,42.3,329.0
timed,Priest,Discipline,Unknown,Healer,29,29,18,35013,33901,50343,1.93,13.8,328.8
timed,Priest,Discipline,Voidweaver,Healer,122,122,40,68864,71254,91382,1.16,35.2,330.2
timed,Priest,Holy,Archon,Healer,14,14,8,15312,11849,22313,0.14,85.7,330.8
timed,Priest,Holy,Oracle,Healer,48,48,25,26562,24725,44586,0.96,52.1,327.3
timed,Priest,Holy,Unknown,Healer,9,9,6,29380,19835,44800,0.89,55.6,332.6
timed,Priest,Shadow,Archon,DPS,223,223,95,271108,271295,349410,1.37,30.9,331.2
timed,Priest,Shadow,Unknown,DPS,14,14,8,273656,264470,333029,1.36,28.6,333.1
timed,Priest,Shadow,Voidweaver,DPS,52,52,30,247107,241216,318700,1.33,23.1,331.0
timed,Rogue,Assassination,Deathstalker,DPS,11,11,9,276023,295846,344066,1.36,27.3,331.5
timed,Rogue,Assassination,Fatebound,DPS,46,46,29,242119,238072,345664,1.2,39.1,329.9
timed,Rogue,Assassination,Unknown,DPS,4,4,3,283736,296536,341252,1.0,50.0,328.2
timed,Rogue,Outlaw,Fatebound,DPS,8,8,4,184025,199392,261622,1.75,0.0,325.1
timed,Rogue,Outlaw,Trickster,DPS,157,154,49,269172,264295,362249,1.07,40.1,331.2
timed,Rogue,Outlaw,Unknown,DPS,8,8,5,271055,256895,323271,0.75,50.0,332.4
timed,Rogue,Subtlety,Deathstalker,DPS,8,8,6,236197,239208,284203,2.5,25.0,332.5
timed,Rogue,Subtlety,Trickster,DPS,17,17,13,193770,201510,232655,1.76,23.5,328.4
timed,Shaman,Elemental,Farseer,DPS,573,572,225,285484,283647,372640,1.33,31.4,331.7
timed,Shaman,Elemental,Stormbringer,DPS,12,12,8,169339,164381,249351,1.83,16.7,322.7
timed,Shaman,Elemental,Unknown,DPS,34,34,24,288796,277455,361961,1.12,29.4,333.1
timed,Shaman,Enhancement,Stormbringer,DPS,247,247,92,244355,233335,347288,1.28,32.4,329.6
timed,Shaman,Enhancement,Totemic,DPS,4,4,3,222646,230678,231524,3.5,0.0,334.0
timed,Shaman,Enhancement,Unknown,DPS,27,27,12,245440,246901,302915,1.96,11.1,329.6
timed,Shaman,Restoration,Farseer,Healer,43,43,20,43287,43164,60803,0.7,48.8,332.8
timed,Shaman,Restoration,Totemic,Healer,437,437,171,41258,43261,56885,0.78,49.4,330.3
timed,Shaman,Restoration,Unknown,Healer,36,36,22,47062,53134,63302,0.64,52.8,332.6
timed,Warlock,Affliction,Hellcaller,DPS,2,2,2,281646,281646,309254,1.0,50.0,334.0
timed,Warlock,Affliction,Soul Harvester,DPS,249,247,93,271014,268448,347294,1.1,38.2,329.8
timed,Warlock,Affliction,Unknown,DPS,14,14,12,267353,269018,331202,1.86,14.3,331.3
timed,Warlock,Demonology,Diabolist,DPS,108,107,47,253027,251185,315226,1.04,38.9,330.8
timed,Warlock,Demonology,Soul Harvester,DPS,2,2,1,249728,249728,250878,0.5,50.0,334.0
timed,Warlock,Demonology,Unknown,DPS,4,4,3,269860,275980,288109,0.5,75.0,334.0
timed,Warlock,Destruction,Diabolist,DPS,86,86,50,250332,237108,343436,1.33,27.9,331.6
timed,Warlock,Destruction,Hellcaller,DPS,15,15,6,252843,245808,305383,0.93,33.3,333.1
timed,Warlock,Destruction,Unknown,DPS,4,4,3,335142,333496,351558,0.75,50.0,334.0
timed,Warrior,Arms,Colossus,DPS,330,330,133,273852,261623,381397,1.03,37.0,330.9
timed,Warrior,Arms,Slayer,DPS,503,496,217,287524,290928,367918,1.49,25.2,332.3
timed,Warrior,Arms,Unknown,DPS,78,77,55,303298,302084,396653,1.5,21.8,333.0
timed,Warrior,Fury,Mountain Thane,DPS,30,30,16,224450,226154,309596,1.33,46.7,330.4
timed,Warrior,Fury,Slayer,DPS,23,23,15,200152,198753,233874,2.22,4.3,325.3
timed,Warrior,Fury,Unknown,DPS,4,4,4,224912,202642,290501,1.75,25.0,327.5
timed,Warrior,Protection,Colossus,Tank,26,26,12,145051,139995,189118,0.42,73.1,330.0
timed,Warrior,Protection,Mountain Thane,Tank,108,108,52,141460,135638,199587,0.38,69.4,330.2
timed,Warrior,Protection,Unknown,Tank,14,14,8,151001,152134,184960,0.29,71.4,332.6
all,DeathKnight,Blood,(all merged),Tank,1265,1265,403,162109,157738,234506,0.77,59.8,330.2
all,DeathKnight,Frost,(all merged),DPS,940,899,338,257378,252730,354108,1.84,28.1,328.1
all,DeathKnight,Unholy,(all merged),DPS,586,579,251,236265,232761,336532,2.13,28.7,327.9
all,DemonHunter,Devourer,(all merged),DPS,1266,1224,369,259009,257540,360987,2.27,19.0,330.6
all,DemonHunter,Havoc,(all merged),DPS,264,263,127,210171,202962,293863,2.41,18.6,326.5
all,DemonHunter,Vengeance,(all merged),Tank,430,430,164,128854,123819,185071,1.27,48.1,328.7
all,Druid,Balance,(all merged),DPS,1133,1128,414,250333,246373,339712,2.39,19.8,331.2
all,Druid,Feral,(all merged),DPS,161,161,63,230193,231322,305219,2.6,18.6,328.8
all,Druid,Guardian,(all merged),Tank,233,233,110,111259,104424,169569,1.39,43.8,325.6
all,Druid,Restoration,(all merged),Healer,218,218,85,13236,8822,26030,2.74,12.8,327.1
all,Evoker,Augmentation,(all merged),DPS,489,489,113,196331,189979,269230,2.37,21.7,324.7
all,Evoker,Devastation,(all merged),DPS,163,150,44,197593,193708,261396,2.75,17.2,325.0
all,Evoker,Preservation,(all merged),Healer,417,417,130,58461,57486,93967,2.78,15.6,329.7
all,Hunter,BeastMastery,(all merged),DPS,319,314,125,210033,206716,287790,2.97,16.6,326.1
all,Hunter,Marksmanship,(all merged),DPS,899,887,252,273231,275593,376267,2.28,20.1,331.8
all,Hunter,Survival,(all merged),DPS,270,269,83,222795,222988,303937,2.49,19.3,328.2
all,Mage,Arcane,(all merged),DPS,2430,2357,757,252023,247859,345299,2.16,22.7,329.9
all,Mage,Fire,(all merged),DPS,147,147,47,242288,236339,334714,1.65,44.2,330.7
all,Mage,Frost,(all merged),DPS,132,131,63,201654,183579,293920,2.86,18.2,324.7
all,Monk,Brewmaster,(all merged),Tank,283,283,101,120659,117856,164431,1.36,39.9,326.2
all,Monk,Mistweaver,(all merged),Healer,1507,1507,387,64153,62516,85348,1.64,32.4,329.8
all,Monk,Windwalker,(all merged),DPS,329,326,92,264475,265450,375176,2.53,15.8,330.7
all,Paladin,Holy,(all merged),Healer,1082,1082,333,37402,34585,62804,1.72,28.0,330.7
all,Paladin,Protection,(all merged),Tank,2610,2610,689,156291,152107,218855,0.92,54.1,329.9
all,Paladin,Retribution,(all merged),DPS,639,635,269,221129,218483,318644,2.45,17.8,328.2
all,Priest,Discipline,(all merged),Healer,757,757,246,40916,32934,73856,2.33,23.6,328.2
all,Priest,Holy,(all merged),Healer,158,158,69,22984,22102,42100,1.63,39.2,328.4
all,Priest,Shadow,(all merged),DPS,518,517,190,244182,238272,330178,2.39,19.9,330.2
all,Rogue,Assassination,(all merged),DPS,156,156,73,231354,229718,334771,2.62,19.9,328.7
all,Rogue,Outlaw,(all merged),DPS,294,290,73,251439,249601,348666,2.15,23.1,331.1
all,Rogue,Subtlety,(all merged),DPS,85,85,41,196673,205882,273366,2.94,15.3,326.0
all,Shaman,Elemental,(all merged),DPS,1118,1114,384,268115,266844,361594,2.38,20.1,330.5
